"carat","price","cut"
0.5,1449,"Ideal"
0.42,984,"Premium"
0.4,596,"Very Good"
0.26,382,"Premium"
0.51,3446,"Ideal"
0.74,3746,"Ideal"
1.31,9296,"Premium"
0.4,597,"Ideal"
0.32,461,"Very Good"
0.25,399,"Very Good"
1.03,8629,"Ideal"
0.71,3380,"Ideal"
1.11,5051,"Ideal"
0.82,4113,"Ideal"
0.7,2699,"Ideal"
1.03,6628,"Very Good"
0.77,2635,"Very Good"
0.83,2241,"Premium"
0.5,1279,"Good"
0.24,552,"Ideal"
0.7,956,"Fair"
0.65,2282,"Ideal"
0.35,959,"Ideal"
2.52,17608,"Good"
0.28,487,"Very Good"
0.5,1935,"Premium"
0.71,3936,"Premium"
0.51,1768,"Very Good"
1.02,4724,"Ideal"
0.72,2131,"Ideal"
1.03,6981,"Ideal"
0.56,1915,"Ideal"
0.73,2825,"Very Good"
1.02,4633,"Very Good"
0.3,789,"Ideal"
2.3,12316,"Ideal"
0.23,431,"Very Good"
1,3864,"Premium"
2.06,9967,"Premium"
0.3,570,"Ideal"
0.82,2629,"Premium"
0.71,3009,"Very Good"
1.5,8518,"Good"
1.01,6196,"Very Good"
1.15,5257,"Very Good"
0.36,663,"Ideal"
0.58,1633,"Very Good"
0.94,4580,"Premium"
1.01,4604,"Ideal"
0.58,2714,"Very Good"
1,4753,"Very Good"
1,4774,"Ideal"
0.9,4034,"Very Good"
1.02,3839,"Good"
0.54,1814,"Ideal"
0.33,940,"Ideal"
1.04,4467,"Premium"
0.73,3777,"Ideal"
0.7,2827,"Ideal"
1.02,5312,"Premium"
0.7,2310,"Very Good"
0.32,720,"Ideal"
1.03,5105,"Premium"
0.72,2989,"Ideal"
0.38,1140,"Premium"
1.01,4038,"Premium"
0.71,2049,"Fair"
1.52,8280,"Good"
0.31,687,"Ideal"
1.53,12499,"Premium"
0.33,978,"Ideal"
0.53,1813,"Premium"
0.54,2198,"Very Good"
0.54,1709,"Ideal"
0.71,3578,"Premium"
1.03,4326,"Very Good"
0.25,436,"Very Good"
1,3880,"Good"
0.42,1179,"Ideal"
1.04,4630,"Ideal"
0.34,753,"Ideal"
1.03,5624,"Premium"
2.01,14103,"Ideal"
1.71,10084,"Premium"
0.28,532,"Very Good"
0.41,1153,"Ideal"
1,4416,"Good"
0.7,2276,"Very Good"
1.5,10633,"Very Good"
0.4,900,"Premium"
0.6,2061,"Ideal"
1.28,12100,"Premium"
0.29,541,"Very Good"
0.52,1802,"Ideal"
2.02,11390,"Very Good"
0.71,3710,"Ideal"
0.72,2277,"Premium"
0.32,561,"Good"
0.63,2041,"Ideal"
0.52,1316,"Ideal"
1.21,6748,"Good"
0.42,810,"Ideal"
1.13,5012,"Premium"
0.9,4165,"Good"
0.9,5335,"Ideal"
1.01,4185,"Very Good"
1.06,5159,"Ideal"
1.51,7136,"Very Good"
0.32,612,"Ideal"
0.71,2771,"Ideal"
0.4,1168,"Ideal"
0.76,2961,"Ideal"
0.3,540,"Premium"
0.42,799,"Ideal"
1.52,11379,"Ideal"
1.5,7708,"Very Good"
2.01,14428,"Premium"
0.4,707,"Very Good"
1.07,4194,"Good"
0.51,1438,"Ideal"
0.65,3003,"Premium"
0.72,2863,"Premium"
0.4,815,"Ideal"
0.4,702,"Very Good"
0.59,2177,"Premium"
0.3,506,"Premium"
0.91,3973,"Good"
1.33,6316,"Premium"
1.01,4118,"Premium"
0.53,1564,"Ideal"
0.41,638,"Very Good"
0.41,1356,"Ideal"
0.9,3780,"Ideal"
0.72,3176,"Ideal"
1.5,5313,"Good"
1.51,7929,"Good"
1.26,6604,"Ideal"
0.7,2264,"Very Good"
0.3,878,"Premium"
1.24,4858,"Premium"
1.02,5055,"Ideal"
0.9,3649,"Very Good"
1.75,10619,"Premium"
0.3,878,"Good"
1.73,8370,"Good"
1.01,6399,"Very Good"
1.21,5096,"Premium"
1.51,15164,"Ideal"
1.5,17279,"Very Good"
1.26,6046,"Ideal"
1.23,9921,"Ideal"
1.06,4459,"Ideal"
0.31,687,"Ideal"
0.31,544,"Ideal"
0.9,3377,"Premium"
0.55,1752,"Ideal"
2.02,16191,"Premium"
1.01,6806,"Ideal"
0.6,1940,"Good"
0.7,2592,"Premium"
0.9,3084,"Premium"
0.7,2553,"Very Good"
1.07,3354,"Good"
0.31,695,"Ideal"
1.02,4971,"Ideal"
0.5,1436,"Very Good"
1,4722,"Good"
0.55,1692,"Ideal"
0.39,1095,"Ideal"
0.9,4103,"Ideal"
0.73,2393,"Premium"
0.23,402,"Very Good"
0.77,2475,"Ideal"
1.24,4875,"Ideal"
0.6,2143,"Ideal"
0.3,640,"Very Good"
0.67,1990,"Good"
0.39,1008,"Ideal"
0.33,780,"Premium"
0.9,3748,"Very Good"
0.31,447,"Ideal"
1.01,4336,"Ideal"
0.41,604,"Ideal"
0.51,1810,"Ideal"
0.31,353,"Very Good"
0.4,947,"Ideal"
0.34,596,"Ideal"
0.28,572,"Very Good"
0.3,673,"Ideal"
0.9,3919,"Good"
0.32,479,"Ideal"
0.5,1175,"Fair"
0.53,1412,"Ideal"
0.57,2485,"Very Good"
1,5197,"Premium"
1.16,5314,"Good"
2.5,13278,"Fair"
2.31,7257,"Fair"
0.6,1896,"Premium"
0.71,2343,"Premium"
0.3,878,"Very Good"
1.04,5570,"Ideal"
0.24,552,"Very Good"
1.05,3898,"Premium"
1.47,7557,"Premium"
1.06,8044,"Premium"
0.33,1021,"Ideal"
0.71,2921,"Very Good"
0.35,887,"Ideal"
0.61,1368,"Ideal"
1.01,5882,"Premium"
1.51,9762,"Premium"
1.01,4149,"Good"
0.43,800,"Ideal"
0.31,711,"Very Good"
0.51,1312,"Good"
0.56,2010,"Ideal"
0.33,959,"Ideal"
1.11,14667,"Ideal"
0.46,1326,"Very Good"
2.25,16004,"Premium"
0.71,4228,"Very Good"
0.42,704,"Ideal"
0.58,1667,"Very Good"
0.33,984,"Ideal"
1.25,6032,"Good"
1.32,6283,"Premium"
0.32,534,"Ideal"
0.51,1841,"Good"
1.52,10180,"Premium"
0.42,1269,"Good"
0.32,612,"Ideal"
0.33,723,"Ideal"
0.32,842,"Very Good"
1.55,7987,"Ideal"
0.41,969,"Very Good"
0.34,477,"Very Good"
0.73,3066,"Very Good"
0.42,700,"Ideal"
0.31,671,"Ideal"
1.2,5712,"Premium"
0.43,1022,"Premium"
1.01,4642,"Premium"
0.31,436,"Ideal"
0.31,436,"Ideal"
1.53,13324,"Ideal"
1.27,5371,"Very Good"
1.01,5515,"Good"
0.33,965,"Premium"
1.7,7713,"Very Good"
0.55,1605,"Ideal"
0.7,2267,"Very Good"
0.9,4119,"Good"
0.73,3209,"Ideal"
0.71,3061,"Ideal"
1.54,12581,"Fair"
0.31,1061,"Ideal"
1.03,11677,"Very Good"
1.01,4432,"Very Good"
0.9,4466,"Very Good"
0.74,2685,"Good"
0.73,2914,"Ideal"
1.01,5232,"Good"
1.09,5034,"Ideal"
0.5,1190,"Good"
1.01,7179,"Ideal"
1.53,14699,"Premium"
0.77,3309,"Ideal"
0.7,2401,"Good"
0.31,591,"Ideal"
0.37,746,"Ideal"
1.51,8879,"Fair"
2,9475,"Very Good"
0.27,470,"Very Good"
0.93,3425,"Good"
2.06,11190,"Premium"
1,7114,"Premium"
1.01,7032,"Premium"
1.3,8124,"Ideal"
2.53,18254,"Premium"
0.34,765,"Ideal"
0.37,1406,"Ideal"
0.33,806,"Ideal"
2,16425,"Good"
0.71,2690,"Ideal"
0.52,1660,"Good"
1.06,6863,"Very Good"
1.03,3692,"Ideal"
0.31,372,"Ideal"
0.53,1263,"Ideal"
0.53,1242,"Premium"
0.57,1728,"Ideal"
2.07,16617,"Ideal"
0.31,625,"Very Good"
1.21,6098,"Ideal"
1.01,5712,"Very Good"
0.7,3622,"Very Good"
0.24,554,"Premium"
0.73,2896,"Ideal"
1.01,8133,"Ideal"
0.54,1957,"Ideal"
0.31,544,"Good"
1.51,8770,"Premium"
1.02,5469,"Premium"
0.51,1139,"Ideal"
0.42,1167,"Very Good"
0.7,2586,"Premium"
0.72,1914,"Very Good"
1.02,15231,"Premium"
0.82,2456,"Premium"
0.3,844,"Ideal"
0.49,1072,"Premium"
0.35,429,"Premium"
1.01,7127,"Ideal"
0.31,695,"Ideal"
0.91,4642,"Ideal"
1.02,4758,"Fair"
0.9,4401,"Good"
0.3,789,"Very Good"
0.7,1918,"Very Good"
0.32,758,"Ideal"
0.36,810,"Very Good"
0.3,503,"Ideal"
0.5,1286,"Premium"
0.7,2088,"Very Good"
1.03,9798,"Ideal"
1.12,7632,"Ideal"
0.7,3167,"Ideal"
1,4077,"Very Good"
1.03,4413,"Premium"
2.39,16791,"Very Good"
0.58,1173,"Very Good"
0.71,2518,"Ideal"
1.11,4497,"Ideal"
1.02,4552,"Very Good"
0.7,1775,"Premium"
0.32,895,"Ideal"
1.04,5447,"Very Good"
0.81,3923,"Ideal"
0.84,3201,"Ideal"
1.22,6388,"Ideal"
0.4,1053,"Ideal"
1.14,11549,"Premium"
1.73,18377,"Premium"
1.05,9012,"Ideal"
0.57,1072,"Good"
0.31,734,"Ideal"
0.23,485,"Good"
1.03,4580,"Very Good"
0.5,2153,"Very Good"
1.5,10725,"Ideal"
0.52,1932,"Ideal"
0.9,5000,"Premium"
0.36,1013,"Premium"
0.41,964,"Ideal"
1,5208,"Good"
0.25,575,"Very Good"
2.01,8949,"Very Good"
0.32,612,"Ideal"
0.39,787,"Ideal"
0.74,3178,"Ideal"
1,4081,"Good"
0.31,489,"Premium"
0.81,3015,"Ideal"
1.54,11650,"Very Good"
0.53,1857,"Very Good"
2.01,17220,"Ideal"
1.07,5752,"Very Good"
0.7,3129,"Ideal"
0.71,2803,"Premium"
0.42,984,"Ideal"
1.57,11702,"Ideal"
0.51,2005,"Ideal"
0.7,2596,"Ideal"
0.31,872,"Ideal"
0.62,1618,"Ideal"
0.5,1724,"Ideal"
0.4,1106,"Ideal"
0.9,4890,"Premium"
0.51,1264,"Ideal"
1.03,6467,"Ideal"
0.32,842,"Premium"
1.36,4158,"Fair"
1.21,10335,"Ideal"
2.03,15683,"Premium"
0.9,3992,"Ideal"
0.4,619,"Ideal"
0.3,486,"Ideal"
1.01,4212,"Very Good"
0.39,1124,"Ideal"
1,5322,"Premium"
2.25,17233,"Premium"
0.36,607,"Ideal"
1.51,13811,"Very Good"
1.62,13177,"Premium"
1.12,5451,"Ideal"
0.41,1061,"Premium"
0.53,1880,"Very Good"
0.35,767,"Ideal"
0.42,1069,"Ideal"
0.39,1377,"Ideal"
1.01,9810,"Very Good"
0.41,1230,"Ideal"
0.55,2629,"Ideal"
0.93,4010,"Premium"
0.41,1107,"Ideal"
0.5,1893,"Very Good"
0.51,2111,"Ideal"
0.75,3046,"Very Good"
0.53,1908,"Ideal"
1.19,5622,"Fair"
1.52,10641,"Ideal"
0.28,514,"Very Good"
2.01,13400,"Premium"
1.61,10477,"Premium"
0.28,429,"Very Good"
0.33,868,"Ideal"
0.41,813,"Very Good"
0.38,998,"Premium"
0.72,3151,"Ideal"
0.24,504,"Ideal"
0.33,579,"Ideal"
0.26,486,"Very Good"
1,4704,"Premium"
1,6389,"Good"
0.33,1114,"Ideal"
0.3,776,"Good"
0.52,2251,"Ideal"
0.59,1195,"Ideal"
1.21,6684,"Very Good"
0.41,969,"Very Good"
0.38,1060,"Ideal"
1.02,8940,"Very Good"
0.54,1981,"Ideal"
0.38,1008,"Ideal"
0.27,504,"Very Good"
0.42,1087,"Ideal"
0.75,2588,"Premium"
0.5,1281,"Very Good"
1.3,5387,"Ideal"
0.7,2137,"Good"
1.06,4972,"Very Good"
1.22,6250,"Good"
0.33,692,"Very Good"
0.71,3190,"Ideal"
0.53,1266,"Premium"
0.3,844,"Ideal"
0.51,1244,"Very Good"
1.01,4378,"Ideal"
0.69,3323,"Very Good"
0.42,926,"Very Good"
1.78,12843,"Ideal"
0.8,2760,"Premium"
1.2,6720,"Premium"
0.32,900,"Ideal"
0.9,2376,"Fair"
1.59,7943,"Ideal"
1.42,8019,"Good"
0.52,1659,"Very Good"
1.53,12791,"Ideal"
0.71,2495,"Very Good"
0.53,1166,"Ideal"
1.12,4290,"Ideal"
0.51,1974,"Premium"
0.35,1024,"Ideal"
0.3,911,"Ideal"
0.58,1983,"Ideal"
1.07,4496,"Fair"
1.06,5223,"Ideal"
0.3,545,"Ideal"
1,3878,"Good"
1.05,8850,"Premium"
0.71,2756,"Premium"
0.3,729,"Ideal"
0.23,357,"Good"
1.13,3746,"Premium"
0.51,1443,"Very Good"
1.2,5474,"Premium"
0.89,1334,"Fair"
1.01,4692,"Very Good"
0.41,809,"Ideal"
0.34,699,"Ideal"
0.37,1041,"Premium"
0.57,1571,"Ideal"
0.3,454,"Ideal"
1.21,5962,"Premium"
0.35,956,"Premium"
1.02,7677,"Premium"
0.54,1600,"Very Good"
2.02,14238,"Premium"
2.01,15832,"Good"
0.9,3863,"Very Good"
1,6600,"Ideal"
1.03,3974,"Premium"
0.3,789,"Good"
1.01,9735,"Ideal"
0.3,638,"Very Good"
0.34,612,"Premium"
1.03,2392,"Premium"
0.24,485,"Very Good"
0.71,2141,"Very Good"
1.41,11009,"Ideal"
0.71,1644,"Good"
1.56,10571,"Ideal"
1.2,5083,"Very Good"
2.01,12423,"Premium"
0.39,704,"Very Good"
0.9,2800,"Very Good"
0.7,2000,"Ideal"
1.5,10023,"Very Good"
0.71,2839,"Premium"
0.7,2282,"Very Good"
0.4,967,"Ideal"
1.01,5006,"Premium"
1.2,15185,"Ideal"
1.04,4368,"Premium"
0.4,890,"Very Good"
1.08,5250,"Premium"
0.7,1235,"Very Good"
1.03,4758,"Premium"
0.74,2131,"Premium"
0.32,715,"Ideal"
1.02,5089,"Premium"
2.01,13669,"Very Good"
0.9,4082,"Premium"
2,12554,"Good"
1.2,5049,"Good"
0.57,1728,"Premium"
0.51,1574,"Good"
0.36,705,"Ideal"
1,2530,"Fair"
0.91,4125,"Good"
1.52,8674,"Fair"
1.01,5000,"Very Good"
0.41,1259,"Ideal"
0.55,2079,"Ideal"
0.52,1389,"Ideal"
1.52,9028,"Good"
1.04,4484,"Very Good"
1.01,4330,"Premium"
0.83,2825,"Premium"
0.3,609,"Ideal"
1.13,7147,"Ideal"
0.5,1736,"Ideal"
0.3,949,"Ideal"
0.73,3378,"Ideal"
0.7,2187,"Good"
3.01,18710,"Premium"
2.15,12458,"Premium"
1.25,7840,"Ideal"
0.7,2757,"Very Good"
0.34,995,"Premium"
1.17,5585,"Very Good"
1.56,10090,"Premium"
0.3,776,"Premium"
0.73,3089,"Ideal"
1.51,12709,"Good"
1.54,13120,"Premium"
1.62,11152,"Ideal"
0.53,1353,"Ideal"
1.22,11104,"Premium"
2,16262,"Premium"
0.32,936,"Premium"
1.02,4478,"Very Good"
1.61,10942,"Premium"
0.9,4409,"Good"
2.06,13908,"Premium"
0.72,1907,"Very Good"
0.5,1378,"Premium"
0.42,847,"Ideal"
1.05,7037,"Ideal"
0.5,1035,"Ideal"
0.52,1694,"Ideal"
0.31,803,"Ideal"
0.43,976,"Very Good"
0.7,2614,"Ideal"
0.59,1816,"Ideal"
1.53,9802,"Very Good"
1.02,4478,"Good"
0.57,2656,"Ideal"
1.27,5588,"Premium"
0.24,419,"Very Good"
1.51,8283,"Ideal"
0.33,666,"Ideal"
0.3,895,"Ideal"
1.51,11834,"Ideal"
0.31,1012,"Premium"
0.72,3338,"Very Good"
0.32,720,"Premium"
0.71,1609,"Premium"
1,8217,"Ideal"
0.56,2712,"Ideal"
0.72,2333,"Good"
1,4704,"Premium"
1.02,4398,"Fair"
0.7,2421,"Very Good"
0.33,668,"Premium"
0.9,3014,"Good"
0.7,2737,"Very Good"
0.36,624,"Very Good"
0.7,2644,"Ideal"
0.42,992,"Premium"
0.34,880,"Ideal"
0.34,596,"Premium"
0.72,3242,"Ideal"
1.06,8003,"Premium"
0.3,878,"Very Good"
1.2,5722,"Ideal"
0.36,789,"Premium"
0.53,942,"Good"
2.04,13600,"Premium"
0.62,1291,"Premium"
0.31,625,"Very Good"
0.72,2903,"Premium"
0.64,1967,"Ideal"
0.41,1018,"Ideal"
1.21,7359,"Good"
0.71,2803,"Ideal"
0.27,622,"Ideal"
0.3,764,"Ideal"
0.43,774,"Premium"
0.76,3304,"Good"
0.3,776,"Ideal"
1.37,5284,"Premium"
1.51,12571,"Premium"
0.26,399,"Very Good"
1.5,13653,"Ideal"
0.56,1580,"Ideal"
1,4704,"Premium"
1.05,6028,"Very Good"
0.51,1656,"Premium"
0.32,716,"Ideal"
1.07,5424,"Premium"
0.31,802,"Premium"
0.9,3160,"Good"
0.54,1786,"Ideal"
1.22,5807,"Ideal"
2.01,11660,"Very Good"
0.5,1629,"Ideal"
1.51,14482,"Very Good"
0.71,3516,"Ideal"
0.91,3921,"Good"
0.7,2224,"Very Good"
0.31,680,"Premium"
0.33,694,"Ideal"
1.61,11294,"Ideal"
1.01,6509,"Good"
1.06,6240,"Ideal"
1.04,14494,"Ideal"
0.57,1257,"Premium"
0.23,583,"Very Good"
1.01,7290,"Ideal"
0.54,1266,"Ideal"
0.41,961,"Ideal"
0.75,2517,"Very Good"
1.75,8385,"Good"
1.08,4355,"Premium"
0.4,1050,"Premium"
0.35,706,"Ideal"
0.77,2763,"Ideal"
1.02,6613,"Ideal"
0.34,880,"Premium"
1,3360,"Very Good"
0.37,487,"Very Good"
1.17,8806,"Ideal"
0.32,645,"Ideal"
1.7,11781,"Premium"
0.7,2330,"Premium"
0.3,658,"Very Good"
0.31,698,"Premium"
0.5,1331,"Ideal"
0.33,984,"Ideal"
0.31,571,"Ideal"
0.64,3336,"Ideal"
1.01,6271,"Fair"
1.23,5039,"Premium"
0.6,2325,"Ideal"
2.02,11314,"Ideal"
1.01,6794,"Good"
1.02,5500,"Very Good"
0.26,448,"Ideal"
0.28,612,"Ideal"
0.5,2639,"Ideal"
1.28,11419,"Ideal"
0.33,572,"Ideal"
1.02,6169,"Ideal"
0.71,4325,"Ideal"
0.31,789,"Ideal"
1.55,14174,"Ideal"
1.01,4418,"Very Good"
0.5,1289,"Very Good"
0.31,884,"Ideal"
0.71,2342,"Ideal"
0.23,485,"Very Good"
1.01,5599,"Premium"
0.36,1013,"Ideal"
0.72,2776,"Very Good"
0.9,3878,"Very Good"
0.7,2373,"Premium"
1.01,5078,"Very Good"
0.43,948,"Good"
2.26,16241,"Premium"
1.01,4796,"Ideal"
0.31,636,"Very Good"
0.33,1040,"Premium"
1.28,5376,"Premium"
1,5139,"Premium"
1,9815,"Very Good"
1.23,10844,"Premium"
0.33,666,"Very Good"
2,18493,"Premium"
0.7,2106,"Very Good"
0.34,1033,"Ideal"
0.28,827,"Ideal"
0.9,4382,"Good"
0.63,2013,"Ideal"
1.01,2206,"Premium"
0.56,2013,"Premium"
1.62,12542,"Ideal"
0.39,746,"Premium"
0.33,965,"Premium"
0.33,666,"Ideal"
2.11,12554,"Premium"
0.72,2578,"Very Good"
0.25,575,"Very Good"
0.9,3139,"Good"
0.72,2610,"Very Good"
0.31,789,"Ideal"
0.53,1607,"Ideal"
0.9,3116,"Good"
0.7,2167,"Fair"
0.51,1749,"Premium"
0.56,1978,"Ideal"
1.2,6494,"Premium"
0.34,974,"Ideal"
0.52,1664,"Very Good"
1.2,8596,"Very Good"
0.39,1248,"Ideal"
0.38,754,"Ideal"
0.51,1909,"Ideal"
0.9,3057,"Good"
1.57,8538,"Very Good"
2.01,16013,"Good"
1.08,3590,"Very Good"
2.03,16075,"Premium"
0.5,1332,"Premium"
1.08,6961,"Ideal"
0.72,2846,"Very Good"
0.73,2519,"Premium"
0.36,505,"Good"
1.1,5166,"Premium"
0.35,849,"Ideal"
0.38,1176,"Ideal"
0.6,2774,"Ideal"
0.5,1449,"Ideal"
0.3,675,"Premium"
2.07,15847,"Very Good"
0.25,705,"Ideal"
0.53,1314,"Ideal"
0.54,2115,"Very Good"
1.13,5050,"Ideal"
1.13,4984,"Ideal"
1,3835,"Good"
2.03,18286,"Premium"
1.03,2942,"Fair"
1.08,3980,"Good"
2.22,16547,"Very Good"
0.42,961,"Ideal"
0.4,951,"Very Good"
0.33,723,"Ideal"
2,11255,"Ideal"
1.23,4870,"Good"
0.24,417,"Very Good"
1,4504,"Good"
1.01,4681,"Very Good"
0.9,4007,"Premium"
1.03,5241,"Very Good"
0.3,776,"Ideal"
0.42,984,"Ideal"
1.21,5457,"Very Good"
0.85,4373,"Ideal"
1.59,6010,"Premium"
0.53,1678,"Ideal"
0.59,1821,"Ideal"
1.42,7157,"Ideal"
0.52,2371,"Ideal"
0.33,1114,"Premium"
0.76,3183,"Ideal"
1.04,4321,"Premium"
0.25,525,"Premium"
1.02,6479,"Very Good"
1.06,9082,"Premium"
0.33,529,"Very Good"
0.3,641,"Premium"
0.32,505,"Premium"
0.96,3419,"Very Good"
0.4,882,"Premium"
0.7,2294,"Ideal"
0.9,3789,"Very Good"
1.03,3246,"Fair"
1.2,6048,"Premium"
2.42,16198,"Premium"
0.9,7711,"Premium"
0.38,733,"Very Good"
2.07,17893,"Very Good"
0.34,819,"Very Good"
0.41,1107,"Ideal"
0.31,464,"Ideal"
1.52,5618,"Premium"
1.13,5526,"Very Good"
0.33,824,"Ideal"
1.5,12754,"Good"
0.57,1180,"Very Good"
1.01,4632,"Very Good"
0.32,756,"Ideal"
0.41,1431,"Ideal"
1.52,13768,"Ideal"
0.8,3283,"Good"
1.01,9002,"Very Good"
0.4,1089,"Very Good"
0.23,530,"Very Good"
1.04,7751,"Very Good"
1.05,5557,"Premium"
1.6,9376,"Ideal"
0.5,1675,"Premium"
1.13,4406,"Good"
1.46,8421,"Ideal"
1.05,6486,"Very Good"
1.23,8145,"Premium"
0.5,1646,"Ideal"
2.03,6753,"Fair"
0.38,1069,"Ideal"
1.07,5031,"Ideal"
2.01,16319,"Ideal"
0.7,1979,"Very Good"
0.35,868,"Ideal"
1,8008,"Very Good"
1.3,6806,"Premium"
0.35,829,"Very Good"
1.52,10609,"Ideal"
0.7,2846,"Ideal"
0.5,1409,"Ideal"
0.89,3284,"Good"
0.77,3980,"Ideal"
0.9,3282,"Fair"
0.7,2423,"Premium"
0.31,959,"Ideal"
0.5,1155,"Premium"
1.27,5285,"Ideal"
1,3634,"Fair"
0.34,775,"Ideal"
0.36,851,"Premium"
0.32,589,"Ideal"
0.41,791,"Premium"
0.36,1053,"Very Good"
1.91,12816,"Ideal"
0.32,1140,"Ideal"
0.93,4961,"Premium"
2.01,12084,"Very Good"
0.9,3718,"Good"
0.31,698,"Premium"
0.38,1068,"Ideal"
2.01,12617,"Ideal"
0.85,2966,"Very Good"
0.81,3303,"Ideal"
1.21,9541,"Premium"
0.78,3163,"Good"
1.05,4466,"Ideal"
1.31,9085,"Ideal"
0.4,1123,"Very Good"
2.01,14067,"Premium"
1,3696,"Good"
0.56,2037,"Very Good"
1.07,4609,"Very Good"
0.51,964,"Premium"
1.15,4347,"Ideal"
0.32,936,"Premium"
1.5,9324,"Good"
1.01,7821,"Premium"
0.62,3968,"Ideal"
0.71,3431,"Ideal"
1.14,4022,"Premium"
1.21,5184,"Premium"
0.34,537,"Good"
1.01,7507,"Premium"
0.72,2345,"Very Good"
0.36,1094,"Ideal"
1.74,11050,"Premium"
0.82,2716,"Very Good"
1.19,6198,"Premium"
0.73,2902,"Premium"
1.22,6012,"Ideal"
1.01,8119,"Ideal"
1.68,7652,"Premium"
0.32,730,"Ideal"
1,3965,"Very Good"
1.6,16068,"Premium"
1.01,5416,"Good"
0.28,642,"Ideal"
0.25,595,"Ideal"
0.23,505,"Very Good"
0.58,1346,"Ideal"
0.26,453,"Very Good"
2.32,14666,"Premium"
1.51,7891,"Very Good"
0.83,3557,"Premium"
1,5197,"Premium"
0.71,2719,"Ideal"
1.25,5331,"Premium"
0.78,2405,"Very Good"
0.25,740,"Premium"
1.52,12038,"Very Good"
0.92,3417,"Very Good"
1.51,8836,"Premium"
0.54,2231,"Ideal"
1.73,9105,"Premium"
1.01,6666,"Good"
0.34,1084,"Ideal"
1.06,5783,"Premium"
2.5,15990,"Ideal"
0.79,2095,"Very Good"
1.75,14033,"Ideal"
0.72,2249,"Ideal"
0.78,2074,"Premium"
0.73,3511,"Very Good"
0.4,819,"Ideal"
1.21,6871,"Very Good"
1.18,8556,"Ideal"
0.91,3539,"Good"
0.76,2668,"Very Good"
0.4,918,"Ideal"
0.42,1150,"Ideal"
0.91,3771,"Very Good"
1.22,10038,"Ideal"
1.17,2336,"Fair"
1.21,17192,"Premium"
1.66,15229,"Very Good"
1.08,3118,"Premium"
0.43,830,"Ideal"
0.92,4676,"Very Good"
0.43,1056,"Ideal"
1.25,5740,"Premium"
0.54,1114,"Ideal"
1,4155,"Good"
0.32,936,"Premium"
0.31,680,"Ideal"
0.57,1981,"Ideal"
0.51,1128,"Good"
2.09,18509,"Very Good"
0.95,3181,"Premium"
0.56,2188,"Very Good"
0.54,978,"Ideal"
0.54,1356,"Premium"
0.74,3813,"Ideal"
1.51,9710,"Premium"
0.55,1916,"Ideal"
0.31,979,"Ideal"
1.37,13439,"Ideal"
0.5,1087,"Very Good"
0.32,730,"Ideal"
0.54,1849,"Ideal"
1.05,3428,"Ideal"
1.21,9026,"Ideal"
1.01,4439,"Premium"
1.61,10197,"Ideal"
0.53,1956,"Ideal"
0.33,928,"Ideal"
0.74,3402,"Ideal"
0.43,716,"Ideal"
0.3,605,"Ideal"
0.35,1044,"Ideal"
0.35,541,"Ideal"
0.51,1186,"Good"
0.36,729,"Premium"
